
Call:
model.avg(object = get.models(freqfitsPOI_1, subset = TRUE))

Component model call: 
glm(formula = LossesIndicator ~ <4096 unique rhs>, family = 
     poisson(link = "log"), data = crs$training, offset = log(Exposure))

Component models: 
                           df   logLik    AICc  delta weight
1/2/6/8/9/11               38 -1072.55 2222.97 271.25   0.00
3/6/9/11/12                36 -1074.68 2223.04 271.32   0.00
1/6/9/11/12                34 -1076.80 2223.10 271.38   0.00
2/4/9/11/12                17 -1094.38 2223.13 271.41   0.00
1/6/8/9/11                 34 -1076.95 2223.40 271.68   0.00
1/6/7/9/11                 34 -1076.96 2223.40 271.69   0.00
1/2/6/7/9/11               38 -1072.83 2223.52 271.80   0.00
1/2/6/9/11/12              38 -1072.90 2223.67 271.95   0.00
1/2/5/6                    52 -1058.10 2223.69 271.97   0.00
2/4/7/9/11/12              18 -1093.67 2223.77 272.05   0.00
1/2/3/8/9/10               31 -1080.27 2223.78 272.06   0.00
1/2/5/6/8                  53 -1057.08 2223.80 272.08   0.00
2/4/9/12                   16 -1095.75 2223.84 272.13   0.00
1/2/3/7/8/9/10             32 -1079.27 2223.87 272.15   0.00
1/2/5/6/7                  53 -1057.14 2223.91 272.19   0.00
1/2/3/9/10/11              31 -1080.34 2223.92 272.20   0.00
2/4/9/11                   16 -1095.79 2223.92 272.20   0.00
1/2/3/8/9/10/11/12         33 -1078.27 2223.94 272.23   0.00
1/2/3/7/8/9/10/11/12       34 -1077.24 2223.96 272.25   0.00
2/4/7/9/12                 17 -1094.79 2223.96 272.25   0.00
1/2/5/6/7/8                54 -1056.10 2223.97 272.26   0.00
1/2/3/7/9/10/11            32 -1079.35 2224.01 272.30   0.00
3/6/7/9                    35 -1076.41 2224.39 272.67   0.00
3/6/7/8/9/11               37 -1074.38 2224.52 272.80   0.00
1/2/5/6/8/12               54 -1056.39 2224.56 272.84   0.00
2/4/9                      15 -1097.13 2224.57 272.85   0.00
3/6/7/9/12                 36 -1075.46 2224.60 272.88   0.00
3/6/8/9/11                 36 -1075.47 2224.60 272.89   0.00
1/6/8/9/11/12              35 -1076.55 2224.68 272.97   0.00
2/4/7/9/11                 17 -1095.18 2224.73 273.01   0.00
1/2/6/8/9/11/12            39 -1072.39 2224.75 273.03   0.00
1/6/9                      32 -1079.72 2224.75 273.04   0.00
1/2/6/7/8/9/11             39 -1072.43 2224.83 273.11   0.00
2/4/7/9                    16 -1096.27 2224.87 273.16   0.00
1/2/6/9                    36 -1075.61 2224.88 273.17   0.00
1/2/5/6/7/8/12             55 -1055.51 2224.94 273.22   0.00
1/6/7/9/11/12              35 -1076.71 2224.99 273.27   0.00
3/6/7/8/9/11/12            38 -1073.58 2225.01 273.30   0.00
2/4/8/9/11/12              18 -1094.32 2225.06 273.34   0.00
1/2/5/6/12                 53 -1057.73 2225.10 273.38   0.00
3/6/8/9/11/12              37 -1074.67 2225.11 273.40   0.00
1/2/5/6/8/11               54 -1056.70 2225.17 273.46   0.00
3/6/9                      34 -1077.88 2225.25 273.53   0.00
1/6/7/8/9/11               35 -1076.84 2225.27 273.55   0.00
1/2/5/6/11                 53 -1057.85 2225.34 273.62   0.00
3/6/9/12                   35 -1076.94 2225.45 273.74   0.00
1/2/5/6/7/12               54 -1056.85 2225.47 273.75   0.00
1/2/6/7/9/11/12            39 -1072.78 2225.52 273.80   0.00
1/2/5/6/7/8/11             55 -1055.85 2225.61 273.89   0.00
1/2/5/6/7/11               54 -1057.00 2225.76 274.05   0.00
2/4/7/8/9/11/12            19 -1093.66 2225.79 274.08   0.00
2/4/8/9/12                 17 -1095.73 2225.83 274.12   0.00
1/2/3/8/9/10/11            32 -1080.27 2225.86 274.14   0.00
1/2/3/7/8/9/10/11          33 -1079.25 2225.90 274.18   0.00
2/4/8/9/11                 17 -1095.78 2225.93 274.22   0.00
2/4/7/8/9/12               18 -1094.79 2226.01 274.29   0.00
1/2/5/6/8/11/12            55 -1056.06 2226.03 274.32   0.00
1/6/9/12                   33 -1079.33 2226.07 274.35   0.00
3/6/7/8/9                  36 -1076.33 2226.33 274.62   0.00
1/6/7/9                    33 -1079.47 2226.35 274.64   0.00
1/2/6/7/9                  37 -1075.33 2226.42 274.71   0.00
2/4/8/9                    16 -1097.11 2226.55 274.83   0.00
1/2/6/8/9                  37 -1075.40 2226.57 274.86   0.00
1/6/7/8/9/11/12            36 -1076.46 2226.60 274.88   0.00
1/2/5/6/7/8/11/12          56 -1055.29 2226.63 274.91   0.00
1/2/6/7/8/9/11/12          40 -1072.29 2226.63 274.92   0.00
2/4/7/8/9/11               18 -1095.11 2226.64 274.92   0.00
3/6/7/8/9/12               37 -1075.46 2226.68 274.96   0.00
2/4/7/8/9                  17 -1096.15 2226.69 274.97   0.00
1/2/6/9/12                 37 -1075.46 2226.69 274.98   0.00
1/6/8/9                    33 -1079.68 2226.76 275.05   0.00
1/2/5/6/11/12              54 -1057.54 2226.85 275.14   0.00
1/2/3/7/12                 23 -1090.16 2227.00 275.28   0.00
1/6/10                     29 -1084.06 2227.20 275.48   0.00
3/6/8/9                    35 -1077.82 2227.23 275.51   0.00
1/2/3/12                   22 -1091.32 2227.26 275.55   0.00
1/2/3/7/8/12               24 -1089.29 2227.34 275.62   0.00
1/2/5/6/7/11/12            55 -1056.74 2227.39 275.67   0.00
1/2/3/8/12                 23 -1090.40 2227.49 275.77   0.00
3/6/8/9/12                 36 -1076.93 2227.54 275.82   0.00
1/6/10/11                  30 -1083.20 2227.56 275.84   0.00
1/6/7/10                   30 -1083.28 2227.73 276.01   0.00
1/6/7/9/12                 34 -1079.13 2227.76 276.04   0.00
1/6/8/9/12                 34 -1079.21 2227.91 276.19   0.00
1/6/8/10/11                31 -1082.36 2227.96 276.24   0.00
1/6/8/10                   30 -1083.44 2228.04 276.32   0.00
1/2/6/7/8/9                38 -1075.13 2228.12 276.41   0.00
1/2/3/7/10/12              26 -1087.64 2228.16 276.44   0.00
1/2/6/8/9/12               38 -1075.16 2228.19 276.47   0.00
1/2/6/7/9/12               38 -1075.21 2228.29 276.57   0.00
1/6/7/10/11                31 -1082.53 2228.31 276.59   0.00
1/2/3/7                    22 -1091.84 2228.31 276.59   0.00
1/6/7/8/9                  34 -1079.44 2228.37 276.65   0.00
1/6/7/8/10                 31 -1082.69 2228.62 276.90   0.00
1/2/3/7/11/12              24 -1089.94 2228.63 276.91   0.00
1/2/3                      21 -1093.04 2228.65 276.93   0.00
1/6/10/12                  30 -1083.77 2228.71 276.99   0.00
1/6/7/8/10/11              32 -1081.73 2228.77 277.06   0.00
1/2/3/10/12                25 -1089.05 2228.91 277.20   0.00
1/2/3/7/8/10/12            27 -1087.03 2229.01 277.30   0.00
1/6/8/10/12                31 -1082.90 2229.05 277.33   0.00
1/6/8/10/11/12             32 -1081.87 2229.07 277.36   0.00
1/2/3/11/12                23 -1091.20 2229.10 277.38   0.00
1/2/3/7/8/11/12            25 -1089.16 2229.13 277.42   0.00
1/6/10/11/12               31 -1082.99 2229.23 277.51   0.00
1/6/7/10/12                31 -1083.06 2229.36 277.65   0.00
1/2/3/8/11/12              24 -1090.34 2229.44 277.72   0.00
1/6/7/8/9/12               35 -1079.02 2229.61 277.90   0.00
1/2/3/8/10/12              26 -1088.38 2229.64 277.92   0.00
2/5/6/7/9/10/11            56 -1056.79 2229.64 277.92   0.00
1/2/3/7/10                 25 -1089.43 2229.66 277.95   0.00
2/5/6/7/9/10               55 -1057.90 2229.70 277.99   0.00
1/6/7/8/10/12              32 -1082.24 2229.81 278.09   0.00
1/2/3/7/8                  23 -1091.56 2229.81 278.10   0.00
1/2/6/7/8/9/12             39 -1074.93 2229.82 278.10   0.00
1/2/3/7/11                 23 -1091.63 2229.94 278.23   0.00
1/2/3/7/10/11/12           27 -1087.52 2229.99 278.27   0.00
1/6/7/8/10/11/12           33 -1081.31 2230.03 278.31   0.00
1/6/7/10/11/12             32 -1082.37 2230.06 278.34   0.00
1/2/3/8                    22 -1092.72 2230.07 278.35   0.00
1/2/3/10                   24 -1090.80 2230.35 278.64   0.00
2/4/5/10/12                35 -1079.42 2230.43 278.71   0.00
1/2/3/11                   22 -1092.93 2230.50 278.78   0.00
1/2/6/10                   33 -1081.63 2230.66 278.94   0.00
1/2/6/8/10                 34 -1080.58 2230.66 278.94   0.00
2/5/6/7/9/10/12            56 -1057.33 2230.71 278.99   0.00
2/5/6/7/9/10/11/12         57 -1056.26 2230.72 279.01   0.00
1/2/6/8/10/11              35 -1079.62 2230.83 279.11   0.00
2/4/5/10                   34 -1080.69 2230.87 279.15   0.00
1/2/3/10/11/12             26 -1089.02 2230.91 279.19   0.00
2/5/6/9/10/11              55 -1058.50 2230.91 279.19   0.00
1/2/3/7/8/10/11/12         28 -1086.97 2230.95 279.23   0.00
2/4/5/7/10/12              36 -1078.66 2230.99 279.27   0.00
1/2/6/7/10                 34 -1080.81 2231.12 279.40   0.00
1/2/6/7/8/10               35 -1079.80 2231.17 279.46   0.00
1/2/6/10/11                34 -1080.91 2231.31 279.59   0.00
1/2/3/7/8/10               26 -1089.27 2231.42 279.71   0.00
1/2/3/7/10/11              26 -1089.33 2231.53 279.81   0.00
1/2/3/7/8/11               24 -1091.39 2231.53 279.81   0.00
2/4/5/7/10                 35 -1079.98 2231.55 279.83   0.00
2/5/6/7/8/9/10             56 -1057.77 2231.60 279.89   0.00
1/2/6/7/8/10/11            36 -1078.97 2231.61 279.89   0.00
2/5/6/7/8/9/10/11          57 -1056.72 2231.64 279.92   0.00
1/2/3/8/10/11/12           27 -1088.37 2231.68 279.96   0.00
2/4/5/10/11/12             36 -1079.05 2231.76 280.05   0.00
2/5/6/9/10                 54 -1060.03 2231.82 280.11   0.00
1/2/3/8/11                 23 -1092.64 2231.98 280.26   0.00
1/2/6/7/10/11              35 -1080.21 2232.01 280.29   0.00
2/5/6/9/10/11/12           56 -1057.98 2232.01 280.29   0.00
1/2/3/8/10                 25 -1090.60 2232.02 280.30   0.00
1/3/7/9/12                 25 -1090.61 2232.02 280.30   0.00
2/4/5/7/10/11/12           37 -1078.15 2232.07 280.35   0.00
1/2/6/8/10/12              35 -1080.26 2232.10 280.38   0.00
2/4/5/10/11                35 -1080.28 2232.14 280.42   0.00
1/3/9/12                   24 -1091.71 2232.16 280.45   0.00
1/2/3/10/11                25 -1090.78 2232.36 280.65   0.00
1/2/6/8/10/11/12           36 -1079.35 2232.38 280.66   0.00
2/4/5/8/10/12              36 -1079.40 2232.47 280.75   0.00
1/2/6/10/12                34 -1081.50 2232.50 280.78   0.00
2/4/5/7/10/11              36 -1079.44 2232.56 280.84   0.00
1/2/6/7/8/10/12            36 -1079.54 2232.74 281.03   0.00
2/5/6/7/8/9/10/12          57 -1057.28 2232.76 281.05   0.00
2/5/6/9/10/12              55 -1059.45 2232.81 281.09   0.00
2/5/6/7/8/9/10/11/12       58 -1056.24 2232.84 281.12   0.00
2/4/5/8/10                 35 -1080.66 2232.90 281.19   0.00
2/5/6/8/9/10/11            56 -1058.44 2232.94 281.22   0.00
1/2/6/7/10/12              35 -1080.73 2233.03 281.32   0.00
2/4/5/7/8/10/12            37 -1078.65 2233.06 281.35   0.00
1/2/6/10/11/12             35 -1080.83 2233.25 281.53   0.00
1/2/6/7/8/10/11/12         37 -1078.74 2233.25 281.53   0.00
1/2/3/7/8/10/11            27 -1089.19 2233.33 281.62   0.00
2/4/5/7/8/10               36 -1079.93 2233.54 281.82   0.00
2/5/6/8/9/10               55 -1059.93 2233.77 282.06   0.00
2/4/5/8/10/11/12           37 -1079.04 2233.84 282.12   0.00
1/2/6/7/10/11/12           36 -1080.16 2233.99 282.27   0.00
1/2/3/8/10/11              26 -1090.59 2234.05 282.33   0.00
1/3/7/9/11/12              26 -1090.59 2234.05 282.34   0.00
1/3/7/8/9/12               26 -1090.60 2234.07 282.36   0.00
2/5/6/8/9/10/11/12         57 -1057.97 2234.14 282.42   0.00
2/4/5/8/10/11              36 -1080.24 2234.15 282.43   0.00
2/4/5/7/8/10/11/12         38 -1078.15 2234.16 282.44   0.00
1/3/8/9/12                 25 -1091.70 2234.21 282.49   0.00
1/3/9/11/12                25 -1091.71 2234.23 282.51   0.00
2/4/5/7/8/10/11            37 -1079.36 2234.49 282.78   0.00
2/5/6/8/9/10/12            56 -1059.42 2234.89 283.17   0.00
3/6/7/11                   30 -1087.05 2235.26 283.54   0.00
3/6/11                     29 -1088.16 2235.41 283.69   0.00
1/3/7/8/9/11/12            27 -1090.58 2236.11 284.39   0.00
3/6/7                      29 -1088.58 2236.24 284.52   0.00
1/3/8/9/11/12              26 -1091.70 2236.28 284.56   0.00
3/6/7/11/12                31 -1086.57 2236.37 284.66   0.00
3/6/11/12                  30 -1087.62 2236.40 284.69   0.00
3/6/7/8/11                 31 -1086.74 2236.73 285.01   0.00
2/3/5/7/9/12               44 -1073.14 2236.78 285.06   0.00
3/6/8/11                   30 -1087.82 2236.80 285.09   0.00
3/6                        28 -1090.03 2237.08 285.37   0.00
3/6/7/12                   30 -1087.96 2237.09 285.37   0.00
5/6/7/9/10                 51 -1065.87 2237.10 285.38   0.00
3/6/8/11/12                31 -1087.02 2237.29 285.57   0.00
3/6/7/8/11/12              32 -1086.02 2237.37 285.65   0.00
1/3/7/9/10/12              28 -1090.19 2237.39 285.67   0.00
2/3/5/9/12                 43 -1074.55 2237.48 285.76   0.00
1/3/9/10/12                27 -1091.36 2237.66 285.94   0.00
5/6/7/9/10/12              52 -1065.12 2237.73 286.02   0.00
3/6/12                     29 -1089.33 2237.74 286.03   0.00
5/6/7/9/10/11              52 -1065.22 2237.93 286.22   0.00
3/6/7/8                    30 -1088.40 2237.97 286.26   0.00
1/3/7/9                    24 -1094.69 2238.12 286.40   0.00
2/3/5/7/9                  43 -1074.90 2238.18 286.47   0.00
1/3/9                      23 -1095.83 2238.35 286.63   0.00
3/6/7/8/12                 31 -1087.60 2238.44 286.72   0.00
5/6/7/9/10/11/12           53 -1064.47 2238.57 286.85   0.00
3/6/8                      29 -1089.83 2238.75 287.04   0.00
2/3/5/7/9/11/12            45 -1073.08 2238.77 287.05   0.00
5/6/7/8/9/10               52 -1065.67 2238.84 287.12   0.00
2/3/5/9                    42 -1076.29 2238.85 287.13   0.00
2/3/5/7/8/9/12             45 -1073.13 2238.87 287.15   0.00
3/6/8/12                   30 -1088.92 2238.99 287.28   0.00
2/4/5/12                   32 -1086.91 2239.14 287.43   0.00
2/3/5/9/11/12              44 -1074.39 2239.28 287.57   0.00
1/3/7/9/10/11/12           29 -1090.17 2239.42 287.71   0.00
1/3/7/8/9/10/12            29 -1090.19 2239.46 287.74   0.00
2/3/5/8/9/12               44 -1074.54 2239.58 287.87   0.00
5/6/7/8/9/10/12            53 -1065.05 2239.72 288.01   0.00
1/3/8/9/10/12              28 -1091.36 2239.72 288.01   0.00
1/3/9/10/11/12             28 -1091.36 2239.73 288.01   0.00
5/6/7/8/9/10/11            53 -1065.06 2239.74 288.02   0.00
1/3/7/8/9                  25 -1094.49 2239.79 288.07   0.00
2/3/5/7/8/9                44 -1074.73 2239.96 288.25   0.00
1/3/8/9                    24 -1095.65 2240.05 288.33   0.00
1/3/7/9/11                 25 -1094.67 2240.14 288.42   0.00
2/3/5/7/9/11               44 -1074.85 2240.19 288.47   0.00
2/4/5/7/12                 33 -1086.39 2240.19 288.47   0.00
1/3/9/11                   24 -1095.83 2240.41 288.69   0.00
1/3/7/12                   19 -1101.00 2240.47 288.75   0.00
5/6/7/8/9/10/11/12         54 -1064.42 2240.61 288.89   0.00
2/4/5                      31 -1088.70 2240.63 288.92   0.00
2/3/5/9/11                 43 -1076.14 2240.66 288.95   0.00
2/3/5/8/9                  43 -1076.15 2240.68 288.96   0.00
1/3/12                     18 -1102.13 2240.68 288.97   0.00
2/4/5/11/12                33 -1086.67 2240.75 289.03   0.00
2/3/5/7/8/9/11/12          46 -1073.07 2240.88 289.16   0.00
1/3/7/8/12                 20 -1100.32 2241.16 289.44   0.00
2/4/5/8/12                 33 -1086.91 2241.22 289.50   0.00
5/6/9/10/11                51 -1067.95 2241.26 289.55   0.00
5/6/9/10                   50 -1069.04 2241.31 289.59   0.00
1/3/8/12                   19 -1101.44 2241.36 289.64   0.00
2/3/5/8/9/11/12            45 -1074.39 2241.40 289.68   0.00
1/3/7/8/9/10/11/12         30 -1090.17 2241.50 289.78   0.00
2/4/5/7/11/12              34 -1086.06 2241.60 289.89   0.00
2/4/5/7                    32 -1088.23 2241.78 290.07   0.00
1/3/7/8/9/11               26 -1094.46 2241.79 290.07   0.00
1/3/8/9/10/11/12           29 -1091.36 2241.80 290.08   0.00
2/3/5/7/9/10/12            47 -1072.52 2241.90 290.18   0.00
2/3/5/7/8/9/11             45 -1074.69 2242.00 290.28   0.00
1/3/8/9/11                 25 -1095.65 2242.10 290.39   0.00
2/5/6/7/9/11               53 -1066.26 2242.16 290.44   0.00
5/6/9/10/11/12             52 -1067.35 2242.19 290.47   0.00
2/4/5/11                   32 -1088.44 2242.21 290.49   0.00
5/6/9/10/12                51 -1068.44 2242.24 290.53   0.00
2/3/5/9/10/12              46 -1073.76 2242.26 290.54   0.00
2/4/5/7/8/12               34 -1086.39 2242.27 290.56   0.00
1/3/7/11/12                20 -1100.89 2242.30 290.59   0.00
2/3/5/8/9/11               44 -1076.02 2242.53 290.82   0.00
2/4/5/8                    32 -1088.62 2242.56 290.84   0.00
1/3/11/12                  19 -1102.08 2242.64 290.92   0.00
2/3/5/7/9/10               46 -1074.02 2242.77 291.05   0.00
2/5/6/7/9                  52 -1067.65 2242.79 291.07   0.00
2/4/5/8/11/12              34 -1086.67 2242.83 291.12   0.00
2/5/6/9/11                 52 -1067.77 2243.03 291.31   0.00
2/3/5/9/10                 45 -1075.21 2243.04 291.32   0.00
1/3/7/8/11/12              21 -1100.27 2243.11 291.40   0.00
5/6/8/9/10                 51 -1068.89 2243.14 291.42   0.00
5/6/8/9/10/11              52 -1067.83 2243.15 291.44   0.00
2/4/5/7/11                 33 -1087.88 2243.18 291.46   0.00
1/3/7/10/12                22 -1099.30 2243.24 291.52   0.00
1/3/8/11/12                20 -1101.43 2243.38 291.66   0.00
2/5/6/7/9/11/12            54 -1065.81 2243.38 291.67   0.00
2/4/5/7/8                  33 -1088.12 2243.65 291.93   0.00
2/4/5/7/8/11/12            35 -1086.05 2243.69 291.97   0.00
1/3/7/9/10                 27 -1094.42 2243.78 292.06   0.00
2/3/5/7/9/10/11/12         48 -1072.44 2243.86 292.14   0.00
2/5/6/7/9/12               53 -1067.16 2243.96 292.24   0.00
2/3/5/9/10/11/12           47 -1073.58 2244.00 292.29   0.00
2/3/5/7/8/9/10/12          48 -1072.52 2244.01 292.30   0.00
1/3/10/12                  21 -1100.72 2244.01 292.30   0.00
1/3/9/10                   26 -1095.58 2244.04 292.32   0.00
2/4/5/8/11                 33 -1088.34 2244.09 292.37   0.00
2/5/6/7/8/9/11             54 -1066.25 2244.26 292.54   0.00
5/6/8/9/10/11/12           53 -1067.32 2244.26 292.55   0.00
5/6/8/9/10/12              52 -1068.39 2244.27 292.56   0.00
2/5/6/9/11/12              53 -1067.34 2244.31 292.59   0.00
2/3/5/8/9/10/12            47 -1073.76 2244.38 292.66   0.00
1/3/7/8/10/12              23 -1098.88 2244.44 292.73   0.00
2/5/6/9                    51 -1069.59 2244.53 292.82   0.00
2/3/5/7/8/9/10             47 -1073.90 2244.65 292.93   0.00
2/3/5/7/9/10/11            47 -1073.94 2244.74 293.02   0.00
2/3/5/9/10/11              46 -1075.03 2244.79 293.08   0.00
2/5/6/7/8/9                53 -1067.60 2244.84 293.12   0.00
2/4/5/7/8/11               34 -1087.74 2244.96 293.25   0.00
2/3/5/8/9/10               46 -1075.12 2244.97 293.26   0.00
2/5/6/8/9/11               53 -1067.75 2245.14 293.42   0.00
1/3/8/10/12                22 -1100.26 2245.16 293.44   0.00
1/3/7/10/11/12             23 -1099.26 2245.20 293.49   0.00
1/3/7/8/9/10               28 -1094.18 2245.37 293.65   0.00
2/5/6/7/8/9/11/12          55 -1065.81 2245.53 293.81   0.00
1/3/8/9/10                 27 -1095.37 2245.69 293.97   0.00
2/5/6/9/12                 52 -1069.11 2245.72 294.00   0.00
1/3/7                      18 -1104.68 2245.79 294.08   0.00
1/3/7/9/10/11              28 -1094.40 2245.81 294.10   0.00
2/3/5/7/8/9/10/11/12       49 -1072.44 2245.98 294.26   0.00
1/3/10/11/12               22 -1100.71 2246.05 294.34   0.00
2/5/6/7/8/9/12             54 -1067.16 2246.08 294.36   0.00
1/3/9/10/11                27 -1095.58 2246.11 294.39   0.00
2/3/5/8/9/10/11/12         48 -1073.58 2246.13 294.41   0.00
1/3                        17 -1105.94 2246.25 294.53   0.00
2/5/6/8/9/11/12            54 -1067.34 2246.44 294.73   0.00
1/3/7/8/10/11/12           24 -1098.86 2246.47 294.75   0.00
